Country Name,Country Code,Indicator Name,2021
Aruba,ABW,GDP per capita (current US$),29127.7593841909
Africa Eastern and Southern,AFE,GDP per capita (current US$),1545.61321503478
Afghanistan,AFG,GDP per capita (current US$),355.777826392648
Africa Western and Central,AFW,GDP per capita (current US$),1766.94361767929
Angola,AGO,GDP per capita (current US$),1927.47407832091
Albania,ALB,GDP per capita (current US$),6377.20309553753
Andorra,AND,GDP per capita (current US$),42072.3194231234
Arab World,ARB,GDP per capita (current US$),6419.16102913915
United Arab Emirates,ARE,GDP per capita (current US$),44332.3400513163
Argentina,ARG,GDP per capita (current US$),10650.8604604345
Armenia,ARM,GDP per capita (current US$),4972.78320361917
American Samoa,ASM,GDP per capita (current US$),16653.7137781725
Antigua and Barbuda,ATG,GDP per capita (current US$),17178.5437160522
Australia,AUS,GDP per capita (current US$),60697.2454358579
Austria,AUT,GDP per capita (current US$),53517.8904509612
Azerbaijan,AZE,GDP per capita (current US$),5408.04535175023
Burundi,BDI,GDP per capita (current US$),221.157803430781
Belgium,BEL,GDP per capita (current US$),51850.3971840229
Benin,BEN,GDP per capita (current US$),1360.91147421492
Burkina Faso,BFA,GDP per capita (current US$),888.781078836766
Bangladesh,BGD,GDP per capita (current US$),2457.92403936141
Bulgaria,BGR,GDP per capita (current US$),12219.3418706779
Bahrain,BHR,GDP per capita (current US$),26850.0033915702
"Bahamas, The",BHS,GDP per capita (current US$),28260.4325506367
Bosnia and Herzegovina,BIH,GDP per capita (current US$),7230.19883771887
Belarus,BLR,GDP per capita (current US$),7489.71894713888
Belize,BLZ,GDP per capita (current US$),6060.96822340845
Bermuda,BMU,GDP per capita (current US$),111774.669092278
Bolivia,BOL,GDP per capita (current US$),3345.02300226194
Brazil,BRA,GDP per capita (current US$),7696.78483012849
Barbados,BRB,GDP per capita (current US$),17507.4679943101
Brunei Darussalam,BRN,GDP per capita (current US$),31448.9127482937
Bhutan,BTN,GDP per capita (current US$),3560.19770457687
Botswana,BWA,GDP per capita (current US$),7238.79609753108
Central African Republic,CAF,GDP per capita (current US$),461.137510956047
Canada,CAN,GDP per capita (current US$),52515.1998350503
Central Europe and the Baltics,CEB,GDP per capita (current US$),18814.1458170436
Switzerland,CHE,GDP per capita (current US$),93446.4344518943
Channel Islands,CHI,GDP per capita (current US$),67960.7269955768
Chile,CHL,GDP per capita (current US$),16240.6077759729
China,CHN,GDP per capita (current US$),12617.5051041181
Cote d'Ivoire,CIV,GDP per capita (current US$),2613.3788930684
Cameroon,CMR,GDP per capita (current US$),1654.25703730592
"Congo, Dem. Rep.",COD,GDP per capita (current US$),576.974729394136
"Congo, Rep.",COG,GDP per capita (current US$),2540.47321153317
Colombia,COL,GDP per capita (current US$),6182.70709867964
Comoros,COM,GDP per capita (current US$),1577.47084066126
Cabo Verde,CPV,GDP per capita (current US$),3398.16537614695
Costa Rica,CRI,GDP per capita (current US$),12604.0488374731
Caribbean small states,CSS,GDP per capita (current US$),10174.3840940633
Cuba,CUB,GDP per capita (current US$),
Curacao,CUW,GDP per capita (current US$),17979.9982909306
Cayman Islands,CYM,GDP per capita (current US$),88475.600468094
Cyprus,CYP,GDP per capita (current US$),32745.84375
Czechia,CZE,GDP per capita (current US$),26822.5141862111
Germany,DEU,GDP per capita (current US$),51426.7503654421
Djibouti,DJI,GDP per capita (current US$),3062.55148207643
Dominica,DMA,GDP per capita (current US$),7668.15813216962
Denmark,DNK,GDP per capita (current US$),69268.6517983134
Dominican Republic,DOM,GDP per capita (current US$),8476.74963892506
Algeria,DZA,GDP per capita (current US$),3700.31469728198
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),9813.00226050914
Early-demographic dividend,EAR,GDP per capita (current US$),3727.93383484374
East Asia & Pacific,EAS,GDP per capita (current US$),13138.7246689239
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),8912.81407575583
Europe & Central Asia,ECS,GDP per capita (current US$),27420.8134260688
Ecuador,ECU,GDP per capita (current US$),5965.13287054416
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),3886.7224983901
Euro area,EMU,GDP per capita (current US$),42527.8427055883
Eritrea,ERI,GDP per capita (current US$),
Spain,ESP,GDP per capita (current US$),30488.8209528797
Estonia,EST,GDP per capita (current US$),27943.701219882
Ethiopia,ETH,GDP per capita (current US$),925.00069759158
European Union,EUU,GDP per capita (current US$),38721.0779400492
Fragile and conflict affected situations,FCS,GDP per capita (current US$),1779.31329134206
Finland,FIN,GDP per capita (current US$),53504.6936483441
Fiji,FJI,GDP per capita (current US$),4656.05134145
France,FRA,GDP per capita (current US$),43671.3084099631
Faroe Islands,FRO,GDP per capita (current US$),69108.2065823035
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),3588.75993317482
Gabon,GAB,GDP per capita (current US$),8635.7971442819
United Kingdom,GBR,GDP per capita (current US$),46869.759058411
Georgia,GEO,GDP per capita (current US$),5023.27438368985
Ghana,GHA,GDP per capita (current US$),2422.08591285021
Gibraltar,GIB,GDP per capita (current US$),
Guinea,GIN,GDP per capita (current US$),1189.17599945874
"Gambia, The",GMB,GDP per capita (current US$),772.151450503284
Guinea-Bissau,GNB,GDP per capita (current US$),795.118605039186
Equatorial Guinea,GNQ,GDP per capita (current US$),7406.08497479348
Greece,GRC,GDP per capita (current US$),20310.6824798873
Grenada,GRD,GDP per capita (current US$),9010.5127999358
Greenland,GRL,GDP per capita (current US$),57116.295770722
Guatemala,GTM,GDP per capita (current US$),5029.47755484093
Guam,GUM,GDP per capita (current US$),35904.8635462723
Guyana,GUY,GDP per capita (current US$),9994.64570422569
High income,HIC,GDP per capita (current US$),48535.4658244281
"Hong Kong SAR, China",HKG,GDP per capita (current US$),49764.793115622
Honduras,HND,GDP per capita (current US$),2771.72265387572
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),1047.07519807515
Croatia,HRV,GDP per capita (current US$),17809.0323901126
Haiti,HTI,GDP per capita (current US$),1823.74222445285
Hungary,HUN,GDP per capita (current US$),18753.0469453539
IBRD only,IBD,GDP per capita (current US$),7284.44912688649
IDA & IBRD total,IBT,GDP per capita (current US$),5718.69000304289
IDA total,IDA,GDP per capita (current US$),1461.41110872415
IDA blend,IDB,GDP per capita (current US$),1844.3200096414
Indonesia,IDN,GDP per capita (current US$),4334.2159826606
IDA only,IDX,GDP per capita (current US$),1272.35034845887
Isle of Man,IMN,GDP per capita (current US$),
India,IND,GDP per capita (current US$),2238.12714218765
Not classified,INX,GDP per capita (current US$),
Ireland,IRL,GDP per capita (current US$),102001.798249145
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),4084.20030479458
Iraq,IRQ,GDP per capita (current US$),4770.83534274738
Iceland,ISL,GDP per capita (current US$),68710.2442005473
Israel,ISR,GDP per capita (current US$),52129.5159612108
Italy,ITA,GDP per capita (current US$),36449.2583375837
Jamaica,JAM,GDP per capita (current US$),5183.5810181201
Jordan,JOR,GDP per capita (current US$),4152.75795426388
Japan,JPN,GDP per capita (current US$),40058.5373276179
Kazakhstan,KAZ,GDP per capita (current US$),10373.7897924367
Kenya,KEN,GDP per capita (current US$),2069.66112881918
Kyrgyz Republic,KGZ,GDP per capita (current US$),1365.50830399287
Cambodia,KHM,GDP per capita (current US$),1625.23502147979
Kiribati,KIR,GDP per capita (current US$),1766.14428934624
St. Kitts and Nevis,KNA,GDP per capita (current US$),18035.3861402469
"Korea, Rep.",KOR,GDP per capita (current US$),35142.264267481
Kuwait,KWT,GDP per capita (current US$),32324.8409043988
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),7873.98078159932
Lao PDR,LAO,GDP per capita (current US$),2535.62343413571
Lebanon,LBN,GDP per capita (current US$),4136.14657516013
Liberia,LBR,GDP per capita (current US$),675.66318584916
Libya,LBY,GDP per capita (current US$),5908.9513231651
St. Lucia,LCA,GDP per capita (current US$),10916.2270797887
Latin America & Caribbean,LCN,GDP per capita (current US$),8478.6334058771
Least developed countries: UN classification,LDC,GDP per capita (current US$),1151.57131490189
Low income,LIC,GDP per capita (current US$),678.653210021186
Liechtenstein,LIE,GDP per capita (current US$),197504.548936258
Sri Lanka,LKA,GDP per capita (current US$),3996.57199501251
Lower middle income,LMC,GDP per capita (current US$),2405.60357592672
Low & middle income,LMY,GDP per capita (current US$),5526.29613463639
Lesotho,LSO,GDP per capita (current US$),1029.50618912869
Late-demographic dividend,LTE,GDP per capita (current US$),11556.4864563168
Lithuania,LTU,GDP per capita (current US$),23849.6156993566
Luxembourg,LUX,GDP per capita (current US$),133711.794435985
Latvia,LVA,GDP per capita (current US$),20930.3982374189
"Macao SAR, China",MAC,GDP per capita (current US$),45104.8921800265
St. Martin (French part),MAF,GDP per capita (current US$),20320.7168789132
Morocco,MAR,GDP per capita (current US$),3767.52490234375
Monaco,MCO,GDP per capita (current US$),235132.784182144
Moldova,MDA,GDP per capita (current US$),5274.74484719747
Madagascar,MDG,GDP per capita (current US$),503.352081190858
Maldives,MDV,GDP per capita (current US$),10076.3175303966
Middle East & North Africa,MEA,GDP per capita (current US$),7696.00660753972
Mexico,MEX,GDP per capita (current US$),10359.1498625832
Marshall Islands,MHL,GDP per capita (current US$),6130.4371365469
Middle income,MIC,GDP per capita (current US$),6085.76413323992
North Macedonia,MKD,GDP per capita (current US$),6778.56287821774
Mali,MLI,GDP per capita (current US$),881.510088733585
Malta,MLT,GDP per capita (current US$),34881.2912726609
Myanmar,MMR,GDP per capita (current US$),1231.69466580785
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),3590.64385327725
Montenegro,MNE,GDP per capita (current US$),9465.96153027794
Mongolia,MNG,GDP per capita (current US$),4566.14013029182
Northern Mariana Islands,MNP,GDP per capita (current US$),
Mozambique,MOZ,GDP per capita (current US$),504.037787143107
Mauritania,MRT,GDP per capita (current US$),1998.39400265586
Mauritius,MUS,GDP per capita (current US$),9068.98018051209
Malawi,MWI,GDP per capita (current US$),633.609733179475
Malaysia,MYS,GDP per capita (current US$),11134.6229528189
North America,NAC,GDP per capita (current US$),68399.102745446
Namibia,NAM,GDP per capita (current US$),4919.18895548026
New Caledonia,NCL,GDP per capita (current US$),37247.4931167883
Niger,NER,GDP per capita (current US$),590.629494752737
Nigeria,NGA,GDP per capita (current US$),2065.77441035114
Nicaragua,NIC,GDP per capita (current US$),2064.92924633583
Netherlands,NLD,GDP per capita (current US$),58727.8705471475
Norway,NOR,GDP per capita (current US$),93072.8925119571
Nepal,NPL,GDP per capita (current US$),1229.39420516246
Nauru,NRU,GDP per capita (current US$),11632.6925020419
New Zealand,NZL,GDP per capita (current US$),49996.4206725811
OECD members,OED,GDP per capita (current US$),42731.2889452911
Oman,OMN,GDP per capita (current US$),19509.4664633867
Other small states,OSS,GDP per capita (current US$),13975.166508629
Pakistan,PAK,GDP per capita (current US$),1506.10829305917
Panama,PAN,GDP per capita (current US$),15491.2898013383
Peru,PER,GDP per capita (current US$),6635.46414809173
Philippines,PHL,GDP per capita (current US$),3460.53938169242
Palau,PLW,GDP per capita (current US$),12921.8273205171
Papua New Guinea,PNG,GDP per capita (current US$),2624.60411021362
Poland,POL,GDP per capita (current US$),18050.2794441161
Pre-demographic dividend,PRE,GDP per capita (current US$),1417.16418953831
Puerto Rico,PRI,GDP per capita (current US$),32601.5656391821
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),
Portugal,PRT,GDP per capita (current US$),24661.1664874576
Paraguay,PRY,GDP per capita (current US$),5959.44179393627
West Bank and Gaza,PSE,GDP per capita (current US$),3678.63565662194
Pacific island small states,PSS,GDP per capita (current US$),3650.85415168242
Post-demographic dividend,PST,GDP per capita (current US$),49527.6601289197
French Polynesia,PYF,GDP per capita (current US$),20230.2410482554
Qatar,QAT,GDP per capita (current US$),66858.7417226715
Romania,ROU,GDP per capita (current US$),14946.624968678
Russian Federation,RUS,GDP per capita (current US$),12532.05078125
Rwanda,RWA,GDP per capita (current US$),821.171394808138
South Asia,SAS,GDP per capita (current US$),2136.19289074982
Saudi Arabia,SAU,GDP per capita (current US$),24315.6185511873
Sudan,SDN,GDP per capita (current US$),749.706787109375
Senegal,SEN,GDP per capita (current US$),1633.56011890357
Singapore,SGP,GDP per capita (current US$),77710.0892373091
Solomon Islands,SLB,GDP per capita (current US$),2232.53695397683
Sierra Leone,SLE,GDP per capita (current US$),504.621287621531
El Salvador,SLV,GDP per capita (current US$),4664.31122268385
San Marino,SMR,GDP per capita (current US$),54982.451714817
Somalia,SOM,GDP per capita (current US$),576.523678242108
Serbia,SRB,GDP per capita (current US$),9232.96160604855
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1634.26533568468
South Sudan,SSD,GDP per capita (current US$),
Sub-Saharan Africa,SSF,GDP per capita (current US$),1635.21734094322
Small states,SST,GDP per capita (current US$),12682.8172192726
Sao Tome and Principe,STP,GDP per capita (current US$),2350.45270097134
Suriname,SUR,GDP per capita (current US$),5026.87949279073
Slovak Republic,SVK,GDP per capita (current US$),21768.1486708026
Slovenia,SVN,GDP per capita (current US$),29331.0647010043
Sweden,SWE,GDP per capita (current US$),61417.6808766469
Eswatini,SWZ,GDP per capita (current US$),4068.57381550966
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),31711.6119870909
Seychelles,SYC,GDP per capita (current US$),12963.0589802139
Syrian Arab Republic,SYR,GDP per capita (current US$),420.622705161108
Turks and Caicos Islands,TCA,GDP per capita (current US$),23158.6378951102
Chad,TCD,GDP per capita (current US$),685.690315037547
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),9922.04350030871
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),9982.81222980684
Togo,TGO,GDP per capita (current US$),976.666183129642
Thailand,THA,GDP per capita (current US$),7060.89770696418
Tajikistan,TJK,GDP per capita (current US$),916.691967061922
Turkmenistan,TKM,GDP per capita (current US$),7885.29989591824
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),8262.54208532494
Timor-Leste,TLS,GDP per capita (current US$),2741.95081994516
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),3589.59535188784
Tonga,TON,GDP per capita (current US$),4425.97149198516
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),2136.19289074982
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1635.21734094322
Trinidad and Tobago,TTO,GDP per capita (current US$),16056.3020409273
Tunisia,TUN,GDP per capita (current US$),3807.18410896841
Turkiye,TUR,GDP per capita (current US$),9743.21313092428
Tuvalu,TUV,GDP per capita (current US$),5372.76023865042
Tanzania,TZA,GDP per capita (current US$),1146.03198242188
Uganda,UGA,GDP per capita (current US$),883.465728077878
Ukraine,UKR,GDP per capita (current US$),4827.845703125
Upper middle income,UMC,GDP per capita (current US$),10271.8014880384
Uruguay,URY,GDP per capita (current US$),17923.9953327961
United States,USA,GDP per capita (current US$),70219.472454115
Uzbekistan,UZB,GDP per capita (current US$),1993.42447787206
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),8360.0642393726
"Venezuela, RB",VEN,GDP per capita (current US$),
British Virgin Islands,VGB,GDP per capita (current US$),
Virgin Islands (U.S.),VIR,GDP per capita (current US$),41976.0083120809
Viet Nam,VNM,GDP per capita (current US$),3756.48890080884
Vanuatu,VUT,GDP per capita (current US$),3044.57364031957
World,WLD,GDP per capita (current US$),12316.1024614581
Samoa,WSM,GDP per capita (current US$),3857.68974206459
Kosovo,XKX,GDP per capita (current US$),5269.78390114389
"Yemen, Rep.",YEM,GDP per capita (current US$),543.637537619208
South Africa,ZAF,GDP per capita (current US$),7073.61275411821
Zambia,ZMB,GDP per capita (current US$),1134.71345424991
Zimbabwe,ZWE,GDP per capita (current US$),1773.92041090285
